dataset_id,class_raw,path,format,width,height,mode,error,min_side,label,sha256,group,split
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(1).jpg,JPEG,495,619,RGB,,495,glioma,37462cc70ce94a639e5f567e7f646471c68c66e685eb9fc000c66c3588def449,image(1),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(100).jpg,JPEG,369,419,RGB,,369,glioma,c1ead199291d6738ea07e23b93d486aaf5f661f1c7df92f24f4c00f8b20bfb0e,image(100),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(11).jpg,JPEG,524,581,RGB,,524,glioma,c711a606ec66e74a2bbe5721727a3deeb2fd9e4b20aa50c99afd65d7dea42541,image(11),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(13).jpg,JPEG,360,380,RGB,,360,glioma,dd7991d8371b0d96016916a77ae44be7fe75e946a3696e6bc07de4a74fe3e434,image(13),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(14).jpg,JPEG,509,537,RGB,,509,glioma,f8a2b70c9e6cf72b75be9baa787d1706dad382dc582092971fa61f0a2273267d,image(14),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(17).jpg,JPEG,453,437,RGB,,437,glioma,667a351913c72f384bad7c071dc8931922b3118a8d81a7dcb48291afe136ead7,image(17),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(18).jpg,JPEG,421,504,RGB,,421,glioma,d5df0c8f28d04f30720ccdd77140962d0efcd2a0318cd98586087e8c1ca6b94e,image(18),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(19).jpg,JPEG,225,225,RGB,,225,glioma,0c8aa58632f07c2523031db61db5abf9bcc373125c5acdccadad097af3c979fa,image(19),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(2).jpg,JPEG,557,641,RGB,,557,glioma,1b2c885fd4d1c4df023f0cfde39fdf707f1e81e8d59fe716080223e0a4f5b834,image(2),train
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(20).jpg,JPEG,248,274,RGB,,248,glioma,07f8475ad25f3242acda9d757c6b104d9de12f8401c90779605d10d30a11f499,image(20),train
