dataset_id,class_raw,path,format,width,height,mode,error
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(1).jpg,JPEG,495,619,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(10).jpg,JPEG,386,406,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(100).jpg,JPEG,369,419,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(11).jpg,JPEG,524,581,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(12).jpg,JPEG,524,581,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(13).jpg,JPEG,360,380,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(14).jpg,JPEG,509,537,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(15).jpg,JPEG,357,396,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(16).jpg,JPEG,398,397,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(17).jpg,JPEG,453,437,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(18).jpg,JPEG,421,504,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(19).jpg,JPEG,225,225,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(2).jpg,JPEG,557,641,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(20).jpg,JPEG,248,274,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(21).jpg,JPEG,544,564,RGB,
dataset1,glioma_tumor,C:\Users\pavan\OneDrive\Documents\Desktop\brain tumor\Datasets\dataset1\Testing\glioma_tumor\image(22).jpg,JPEG,490,625,RGB,
